"lengthdata","weightdata","weight","length","year","month_num","day","nation","gear","port","lat","lon","newlat","newlon"
"670",NA,NA,"670",1453,NA,NA,"France",NA,NA,43.28,5.29,43.28,5.29
NA,NA,NA,NA,1553,NA,NA,"France",NA,NA,43.3,5.37,43.3,5.37
NA,NA,NA,NA,1553,NA,NA,"France",NA,NA,43.64,7.32,43.64,7.32
"501",NA,NA,">500",1599,NA,NA,NA,NA,NA,34.59,18.05,34.59,18.05
"545",NA,NA,"450-640",1650,NA,NA,NA,NA,NA,34.58,18.06,34.58,18.06
NA,NA,NA,NA,1666,10,NA,"Italy",NA,NA,43.54,10.33,43.55,10.25
NA,NA,NA,NA,1706,NA,NA,NA,NA,NA,34.58,18.04,34.58,18.04
"527",1425,"1425","527",1721,6,6,"Italy","Captured by placing a looped rope around its head",NA,40.85,14.24,40.84,14.28
NA,653,"ca. 653",NA,1758,10,7,"France","tuna trap",NA,43.01,9.41,43.01,9.41
"600",NA,NA,"600",1758,NA,NA,NA,"harpoon",NA,34.49,18.07,34.49,18.07
NA,NA,NA,NA,1775,NA,NA,NA,NA,NA,34.55,18.05,34.55,18.05
NA,NA,NA,NA,1777,NA,NA,"Italy",NA,NA,40.11,8.44,40.11,8.44
NA,NA,NA,NA,1799,NA,NA,"France",NA,NA,43.58,7.13,43.58,7.13
NA,NA,NA,NA,1799,NA,NA,"France",NA,NA,43.18,5.56,43.17,5.57
NA,NA,NA,NA,1799,NA,NA,"France",NA,NA,43.51,7.05,43.51,7.05
NA,NA,NA,NA,1799,NA,NA,"France",NA,NA,43.69,7.26,43.68,7.32
"150",NA,NA,"150",1822,NA,NA,"Italy",NA,NA,40.83,14.26,40.83,14.26
"490",NA,NA,"490",1823,9,16,"Italy",NA,NA,42.72,15.92,42.72,15.92
NA,NA,NA,NA,1823,NA,NA,"Italy",NA,NA,42.72,15.92,42.72,15.92
NA,NA,NA,NA,1827,NA,NA,"Italy",NA,NA,42.72,15.92,42.72,15.92
"499",NA,NA,"<500",1829,6,NA,"France","tuna trap",NA,41.91,8.78,41.91,8.78
"594",1807,"1814, 1800 for Mojetta etal. 1997","Ca. 600 (602), 580 for Mojetta etal. 1997",1839,2,NA,"Italy","net",NA,43.32,13.73,43.32,13.73
"273.9",NA,NA,"308 (De Maddalena, 2000b), 313,7 (Storai, unpublished data)",1839,NA,NA,"Italy",NA,NA,43.87,10.23,43.87,10.23
NA,NA,NA,NA,1840,NA,NA,"France",NA,NA,41.91,8.78,41.91,8.78
NA,NA,NA,NA,1840,NA,NA,"France",NA,NA,41.91,8.78,41.91,8.78
NA,640,"640",NA,1846,NA,NA,"Italy",NA,NA,44.33,9.22,44.33,9.22
