"","bandnumber","lat","long","treeid","treespecies","dbh","canopyclass","heightdistance","heightdown","heightup","decaystage","roosttype","roostheight","densiometernorth","densiometersouth","densiometereast","densiometerwest","roostpercentbark","roostbasalarea","distancetoroost","direction","batpresence"
"1","ANNIE",40.77064,-72.83176,"ANNIE2","snag",13.2,2,37,10,45,3,"","",18,7,5,11,95,"9(10)",0,"roost","Y"
"2","ANNIE",40.7695,-72.82639,"ANNIE1","sassafras",38.2,2,25,62,11,1,"","",44,16,36,10,100,"5(10)",0,"roost","Y"
"3","ANNIE",40.7714,-72.82586,"ANNIE3","sassafras",10.8,3,8.8,10,39,4,"cavity, bark","6.8away,19down,44up",0,0,0,4,90,"5(10)",0,"roost","Y"
"4","DUSTY",40.76949,-72.82634,"DUSTY1","snag",15.8,2,6,10,62,4,"cavity","distance6m,up49m,down10m",31,9,6,35,30,"8(10)",0,"roost","Y"
"5","CALAMITY",40.77094,-72.83287,"JANE1","acer rubrum",46.4,1,20,9,63,1,"cavity","distance 20m, down 9, up 26",10,5,4,2,100,"8(10)",0,"roost","Y"
"6","BIRDY",40.77258,-72.83076,"BIRDY1","robinia psuedoaecacia",35,1,6.4,13,73,2,"cavity,bark","",12,15,34,6,95,"6(10)",0,"roost","Y"
"7","BIRDY",40.77139,-72.82793,"BIRDY2","snag",15,3,8,10,48,2,"cavity","8away,up27, down 10",4,1,2,5,90,"4(10)",0,"roost","Y"
"8","DUSTY",40.77066,72.83182,"DUSTY2","snag",11.9,3,10.1,9,51,4,"cavity,bark","10.1away,9 down,51 up",6,3,4,11,60,"14(10)",0,"roost","Y"
"9","ANNIE",40.77064,-72.83176,NA,"snag",13.3,3,7.9,12,51,4,"bark",NA,NA,NA,NA,NA,NA,NA,7.9,"NE","N"
"10","ANNIE",40.7695,-72.82639,NA,"snag",22,2,27,15,55,3,"cavity",NA,NA,NA,NA,NA,NA,NA,4.2,"NE","N"
"11","ANNIE",40.7714,-72.82586,NA,"quercus rubra",73.5,1,14.1,14,70,1,"cavity",NA,NA,NA,NA,NA,NA,NA,4.9,"NE","N"
"12","DUSTY",40.76949,-72.82634,NA,"snag",10.5,4,8.4,9,19,6,"bark,cavity",NA,NA,NA,NA,NA,NA,NA,5.8,"NE","N"
"13","CALAMITY",40.77094,-72.83287,NA,"red maple",9,3,14,7,18,1,"cavity",NA,NA,NA,NA,NA,NA,NA,9.5,"NE","N"
"14","BIRDY",40.77258,-72.83076,NA,"robinia psuedoaecacia",15,1,7,9,64,1,"cavity",NA,NA,NA,NA,NA,NA,NA,5.7,"NE","N"
"15","BIRDY",40.77139,-72.82793,NA,"prunus serotina",15.6,3,11,8,38,1,"no",NA,NA,NA,NA,NA,NA,NA,2.85,"NE","N"
"16","DUSTY",40.77066,72.83182,NA,"quercus alba",10.3,3,8.6,9,41,1,"",NA,NA,NA,NA,NA,NA,NA,3.05,"NE","N"
"17","ANNIE",40.77064,-72.83176,NA,"quercus alba",10.5,3,10.6,9,40,1,"bark",NA,NA,NA,NA,NA,NA,NA,1.3,"SE","N"
"18","ANNIE",40.7695,-72.82639,NA,"sassafras",18.7,2,5.45,12,61,3,"cavity",NA,NA,NA,NA,NA,NA,NA,5,"SE","N"
"19","ANNIE",40.7714,-72.82586,NA,"prunus serotina",22.5,2,11.3,11,59,1,"no",NA,NA,NA,NA,NA,NA,NA,3.5,"SE","N"
"20","DUSTY",40.76949,-72.82634,NA,"carya spp.",11.8,3,12,6,24,1,"cavity",NA,NA,NA,NA,NA,NA,NA,4.6,"SE","N"
"21","CALAMITY",40.77094,-72.83287,NA,"snag",41,3,11,8,35,4,"bark",NA,NA,NA,NA,NA,NA,NA,8.5,"SE","N"
"22","BIRDY",40.77258,-72.83076,NA,"robinia psuedoaecacia",25.4,1,7.2,11,65,1,"cavity",NA,NA,NA,NA,NA,NA,NA,4.45,"SE","N"
"23","BIRDY",40.77139,-72.82793,NA,"snag",7.2,4,NA,5,52,6,"bark,cavity",NA,NA,NA,NA,NA,NA,NA,6.7,"SE","N"
"24","DUSTY",40.77066,72.83182,NA,"sassafras",16.7,2,11.2,7,59,1,"",NA,NA,NA,NA,NA,NA,NA,2.4,"SE","N"
"25","ANNIE",40.77064,-72.83176,NA,"snag",10.8,4,12.5,9,15,4,"bark",NA,NA,NA,NA,NA,NA,NA,2.9,"SW","N"
"26","ANNIE",40.7695,-72.82639,NA,"sassafras",15.5,2,18,10,61,3,"cavity",NA,NA,NA,NA,NA,NA,NA,2.2,"SW","N"
"27","ANNIE",40.7714,-72.82586,NA,"snag",12.7,3,7.1,9,43,4,"cavity, bark",NA,NA,NA,NA,NA,NA,NA,5.1,"SW","N"
"28","DUSTY",40.76949,-72.82634,NA,"snag",15.7,3,6.5,11,37,4,"bark,cavity",NA,NA,NA,NA,NA,NA,NA,0.7,"SW","N"
"29","CALAMITY",40.77094,-72.83287,NA,"red oak",51.1,1,18,4,49,1,"cavity",NA,NA,NA,NA,NA,NA,NA,7.3,"SW","N"
"30","BIRDY",40.77258,-72.83076,NA,"prunus serotina",32.8,1,8.8,12,64,1,"bark,cavity",NA,NA,NA,NA,NA,NA,NA,7.55,"SW","N"
"31","BIRDY",40.77139,-72.82793,NA,"snag",7.7,4,10,9,10,6,"bark,cavity",NA,NA,NA,NA,NA,NA,NA,2.2,"SW","N"
"32","DUSTY",40.77066,72.83182,NA,"sassafras",21.5,3,12,6,49,1,"",NA,NA,NA,NA,NA,NA,NA,2.5,"SW","N"
"33","ANNIE",40.77064,-72.83176,NA,"carya spp.",20.7,2,11,61,8,1,"no",NA,NA,NA,NA,NA,NA,NA,2.1,"NW","N"
"34","ANNIE",40.7695,-72.82639,NA,"snag",14.1,3,20,19,30,6,"bark, cavity",NA,NA,NA,NA,NA,NA,NA,3.4,"NW","N"
"35","ANNIE",40.7714,-72.82586,NA,"prunus serotina",29,2,10.7,12,40,1,"cavity",NA,NA,NA,NA,NA,NA,NA,4,"NW","N"
"36","DUSTY",40.76949,-72.82634,NA,"snag",22.7,2,7.9,9,60,3,"bark,cavity",NA,NA,NA,NA,NA,NA,NA,5,"NW","N"
"37","CALAMITY",40.77094,-72.83287,NA,"red maple",51.5,1,15,6,53,1,"cavity",NA,NA,NA,NA,NA,NA,NA,1,"NW","N"
"38","BIRDY",40.77258,-72.83076,NA,"robinia psuedoaecacia",NA,2,7.4,12,6.6,2,"cavity",NA,NA,NA,NA,NA,NA,NA,5.6,"NW","N"
"39","BIRDY",40.77139,-72.82793,NA,"quercus rubra",50.9,1,8.7,10,18,1,"cavity",NA,NA,NA,NA,NA,NA,NA,4.5,"NW","N"
"40","DUSTY",40.77066,72.83182,NA,"quercus alba",11.1,3,10.1,8,43,1,"",NA,NA,NA,NA,NA,NA,NA,1.05,"NW","N"
