species,disp,island,site,fence,numalive,date,observer,dataentry,dateenter,uniqueidsppfence,canopydate,north,east,south,west,avgcover,avgopen,doubleplant,plantdt,dist,soil,numseedplant,DDsurvival_notes,bird,age,centavgopen,Freq,area,dens_100m,seedsize,se_size,sd_size,n,regdens,se_abund.x,disp.y,regdenswd,se_abund.y
aglaia,no,guam,anao,A1,9,7/14/11,ICC,Jazz ,5/31/13,anaoA1aglaia,22-Jun-11,93,84,83,91,87.75,12.25,no,12/9/10,near,mix,10,NA,no,217,3.128630705,223,3600,619.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,anao,B2A,10,7/14/11,ICC,Jazz ,5/31/13,anaoB2Aaglaia,22-Jun-11,87,92,93,89,90.25,9.75,no,12/9/10,far,mix,10,NA,no,217,0.628630705,223,3600,619.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,anao,B4B,10,7/14/11,ICC,Jazz ,5/31/13,anaoB4Baglaia,22-Jun-11,93,88,87,95,90.75,9.25,no,12/9/10,far,mix,10,NA,no,217,0.128630705,223,3600,619.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,anao,C0,9,7/14/11,ICC,Jazz ,5/31/13,anaoC0aglaia,22-Jun-11,94,96,94,94,94.5,5.5,no,12/9/10,near,karst,10,SEEDLING PLOT,no,217,-3.621369295,223,3600,619.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,anao,C2,9,7/14/11,ICC,Jazz ,5/31/13,anaoC2aglaia,22-Jun-11,94,93,94,93,93.5,6.5,no,12/9/10,near,mix,10,SEEDLING PLOT,no,217,-2.621369295,223,3600,619.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,anao,D2,10,7/14/11,ICC,Jazz ,5/31/13,anaoD2aglaia,22-Jun-11,76,77,71,80,76,24,no,12/9/10,near,karst,10,NA,no,217,14.87863071,223,3600,619.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,anao,E3,10,7/14/11,ICC,Jazz ,5/31/13,anaoE3aglaia,22-Jun-11,91,90,94,95,92.5,7.5,no,12/9/10,far,karst,10,NA,no,217,-1.621369295,223,3600,619.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,anao,E4,9,7/14/11,ICC,Jazz ,5/31/13,anaoE4aglaia,22-Jun-11,89,89,96,94,92,8,no,12/9/10,far,soil,10,NA,no,217,-1.121369295,223,3600,619.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,nblas,A4A,10,7/14/11,ICC,Jazz ,5/31/13,nblasA4Aaglaia,24-Jun-11,94,94,91,91,92.5,7.5,no,12/10/10,far,mix,10,NA,no,216,-1.621369295,286,3600,794.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,nblas,B0,8,7/14/11,ICC,Jazz ,5/31/13,nblasB0aglaia,24-Jun-11,95,93,93,95,94,6,no,12/10/10,near,karst,10,NA,no,216,-3.121369295,286,3600,794.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,nblas,B1,9,7/14/11,ICC,Jazz ,5/31/13,nblasB1aglaia,24-Jun-11,93,91,93,91,92,8,no,12/10/10,far,mix,10,NA,no,216,-1.121369295,286,3600,794.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,nblas,B4A,6,7/14/11,ICC,Jazz ,5/31/13,nblasB4Aaglaia,24-Jun-11,91,93,94,93,92.75,7.25,no,12/10/10,far,mix,10,NA,no,216,-1.871369295,286,3600,794.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,nblas,C1,10,7/14/11,ICC,Jazz ,5/31/13,nblasC1aglaia,24-Jun-11,18,38,36,28,30,70,no,12/10/10,far,mix,10,NA,no,216,60.87863071,286,3600,794.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,nblas,D1,10,7/14/11,ICC,Jazz ,5/31/13,nblasD1aglaia,24-Jun-11,90,92,85,80,86.75,13.25,no,12/10/10,near,mix,10,NA,no,216,4.128630705,286,3600,794.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,nblas,E0,7,7/14/11,ICC,Jazz ,5/31/13,nblasE0aglaia,24-Jun-11,95,94,95,92,94,6,no,12/10/10,near,NA,10,NA,no,216,-3.121369295,286,3600,794.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,nblas,E1,5,7/14/11,ICC,Jazz ,5/31/13,nblasE1aglaia,24-Jun-11,93,92,95,95,93.75,6.25,no,12/10/10,near,mix,10,NA,no,216,-2.871369295,286,3600,794.4444444,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,race,A1,10,7/13/11,km,Jeff Brown,6/2/13,raceA1aglaia,23-Jun-11,91,86,86,88,87.75,12.25,no,12/13/10,far,mix,10,Green tags,no,212,3.128630705,334,3400,982.3529412,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,race,A3A,9,7/13/11,km,Jeff Brown,6/2/13,raceA3Aaglaia,23-Jun-11,93,92,94,94,93.25,6.75,no,12/13/10,near,mix,10,Green tags,no,212,-2.371369295,334,3400,982.3529412,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,race,A4,9,7/13/11,km,Jeff Brown,6/2/13,raceA4aglaia,23-Jun-11,90,96,92,92,92.5,7.5,no,12/13/10,far,karst,10,Green tags,no,212,-1.621369295,334,3400,982.3529412,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
aglaia,no,guam,race,C1,5,7/13/11,km,Jeff Brown,6/2/13,raceC1aglaia,23-Jun-11,90,93,95,92,92.5,7.5,no,12/13/10,far,karst,10,Green tags,no,212,-1.621369295,334,3400,982.3529412,179.1955,8.262894501,26.12956669,10,707.0261438,90.70015498,yes,133.2607117,38.65835572
