"date","observer","recorder","island","site","forest.type","transect.id","ground.cover","canopy.height.ft","total.vine.cover","site.notes","herbs","herb.notes","vines","vine.notes","num.adult.spp","num.sapling.spp","num.seedling.spp","num.adults","num.saplings","num.seedlings","num.away.conspp","num.under.conspp","subs_avg","light.avg"
"14-Sep-2017","tc, mk, mb","tc","saipan","86","leucaena_thicket","86","rivina, ruellia?",NA,NA,NA,"NA","NA","NA","NA",2,2,1,49,49,14,0,63,4,2.5
"43090","mk, mef","mef","guam","aafb","mixed_introduced","aafb.112","grass, leaf litter","16","1","deer poop, all plants look pretty bad - esp. guamia","mimosa, ferns, pilea microphylla, grass, chromoleana odorata, phyllanthus amarus","NA, NA, NA, NA, NA, NA","na","NA",6,1,6,45,12,31,6,37,4,15
"43186","MF","MF","guam","aafb","native_limestone","aafbmist.25","leaf litter, loose karst","22","2","deer poop","none","NA","jasminum, colubrina","NA, NA",13,3,4,96,24,43,1,66,1,5.125
"43178","mf","mf","guam","aafb","native_limestone","aafb.41","karst","20","0",NA,"none","NA","none","NA",4,1,2,20,13,2,0,15,5,4.25
"43181","mf, zc","mf, zc","guam","aafb","native_limestone","aafb.43","leaf litter","27","0","deer hunting area - lots of deer; guamia seedling & sapling w/ no adult - all in clump, near dead tree (could be guamia)","unk herb q, ferns","mf pic, NA","none","NA",6,3,1,27,32,1,14,19,1,8.375
"43178","mf","mf","guam","aafb","native_limestone","aafb.46","karst","16","0",NA,"none","NA","none","NA",3,2,2,20,14,3,0,17,5,4.375
"43181","mf","zc, mf","guam","aafb","native_limestone","aafb.53","leaf litter &ferns","31","0","deer scat","wavy-leaf basket grass, chromolina","NA, NA","none","NA",2,0,4,24,0,47,5,42,3,11.25
"43172","MF, MK","MF, MK","guam","aafb","native_limestone","aafb.55","karst","24","0","MK= Martin Kastner","moss, fern, potilla","NA, NA, NA","none","NA",5,1,4,43,1,90,19,72,5,8.75
"43182","MF","ZC, MF","guam","aafb","native_limestone","aafb.57","leaf litter","12","2","right next to the ritidian road","ferns, chromolina","NA, NA","jasmimium","NA",11,4,3,68,15,3,5,13,3.33333333333333,5
"43181","mf","mf, zc","guam","aafb","native_limestone","aafb.59","karst, leaf litter","22","0","deer scat; deer rubbing on trees &saplings","none","NA","none","NA",7,2,2,47,5,6,0,11,5,NA
"43088","MK, MEF","MEF","guam","aafb.68","scrub_shrub","aafb.68","rocky soil, leaf litter","21","2","we saw and heard deer, as well as obvious tracks and poop","chromolaena odorata, pilea microphylla, grass, unk herb d, desmodium, unk herb c, phyllanthus amarus, oxalis corniculata","NA, NA, NA, NA, NA, NA, NA, NA","mikania","2",6,2,7,39,9,65,6,68,3.83333333333333,16.75
"43088","mk, mef","mef","guam","aafb","scrub_shrub","aafb.76","leaf litter, euphoria (Pilea microphylla?)","24","0"," deer trails going into the transect, a little pig rooting","unk herb g, pilea microphylla, chromolaena odorata, unk herb f, fern spp.","NA, NA, NA, NA, NA","NA","no vines",6,2,2,0,32,23,0,55,2.33333333333333,4.875
"43090","MEF, MK","MEF","guam","aafb","scrub_shrub","aafb.77","leaf litter","21","0","a lot of deer poop in transect","chromolaena odorata, grass sp., oxalis corniculata, fern sp., unk herb h, unk herb i, pilea microphylla","NA, NA, clover, NA, NA, NA, NA","na","na",5,1,5,40,13,17,10,20,3.33333333333333,8.375
"43090","mk, mef","mef","guam","aafb","scrub_shrub","aafb.78","grass, chromoleana, leaf litter","12","2","aglai adult >2m away from transect, light5 measured at 3m instead of 5m","grass, chromoleana odorata, grass, phyllanthus amarus, unk herb i","small, NA, large, NA, NA","mikania, unknown vine c","NA, unk #3 (pics mf phone) flowering",6,2,6,52,8,29,7,30,4,17.875
"43185","mf","mf","guam","aafbmist","native_limestone","aafbmist.10","soil ferns","12","0","no abiotic data","ferns, chronaline, lantana, grass","NA, NA, NA, NA","none","NA",7,2,1,18,5,7,0,12,NA,NA
"43186","mf","mf","guam","aafb","native_limestone","aafbmist.13","leaf litter","17","0","heard a starling; deer antler","grass, unk herb p, chromalina","NA, sticky seeds, common, NA","none","NA",9,1,4,32,2,24,1,25,2.33333333333333,13.125
"43199","mf","mf","guam","aafb","native_limestone","aafbmist.18","karst, Leaf litter","18","1",NA,"none","NA","jasminum","NA",8,3,3,57,19,11,0,30,5,7.375
"43185","mf","mf","guam","aafbmist","native_limestone","aafbmist.2","soil,chromalia","16","1",NA,"grass, chromalina, lantana","small and large, NA, NA","passiflora sub","NA",8,1,5,28,4,19,7,16,4,7.625
"43199","mf","mf","guam","aafb","native_limestone","aafbmist.24","karst, leaf litter","27","0","lots of starling noise before recording; deer poop","none","NA","none","NA",10,3,2,51,27,7,0,34,5,2.625
"43185","MF","MF","guam","aafbmist","native_limestone","aafbmist.33","Karst, leaf litter","20","0",NA,"none","NA","none","NA",6,2,2,36,18,4,1,21,5,4.375
"43186","mf","mf","guam","aafbmist","leucaena_thicket","aafbmist.45","soil","17ft","1",NA,"none","NA","abrus","NA",3,1,2,23,4,3,0,7,4,14.625
"43185","mf","mf","guam","aafbmist","native_limestone","aafbmist.5","soil leaf litter","18","1",NA,"ferns, chromalina","NA, NA","passiflora sub","NA",6,2,3,25,7,13,0,20,4,9.25
"43147","ef, mf","mf","rota","airport","mixed_introduced","airport.1887","none","38","3","Next to road and farm property, lots of vines","ferns","NA","flagellaria, colubrina, passiflora sub, abrus, mikania, centrosema pubescens","NA, NA, NA, NA, NA, I.D. MF 2/18/18",9,4,4,39,12,18,10,20,2.66666666666667,8.875
"43147","ef, mf","mf","rota","airport","native_limestone","airport.1971","leaf litter","32","3","adult prema 10m away","flagellaria, colubrina, passiflora sub., jasminum, unk vine g","NA, NA, NA, NA, fuzzy leaf & vine (ID MF 18feb18)","ferns","NA",9,3,10,24,20,65,19,66,3.5,7
"43151","ef, mf","mf","rota","airport","native_limestone","airport.2038","leaf litter","16","1",NA,"colubrina, flagellaria","NA, NA","ferns","NA",8,2,9,43,7,62,23,46,1,3.75
"43149","ef, mf","mf","rota","alaguan","native_limestone","alaguan.803","leaf litter","11","1","lots of sign of deer (poop); on a cliff","dodder","NA","none","NA",15,2,9,213,3,26,3,26,5,3.625
"43210","mf, blh","blh, mf","guam","anao","native_limestone","anao.103","karst","22","1","recording seemed to stop?","none","NA","flagellaria, jasminum","NA, NA",11,3,5,60,22,48,3,67,5,3.5
"43200","mf","mf","guam","anaomist","mixed_introduced","anaomist.40","soil","17","2",NA,"grass, ferns, chromalina","NA, NA, NA","columbira, pass flora sub","NA, NA",7,3,1,26,10,1,0,11,3.33333333333333,9.625
"43200","mf","mf","guam","anao","mixed_introduced","anaomist.44","soil,ferns","15","2","no data for lite in abiotic","ferns, chromalina","NA, NA","colubria, abrus","NA, NA",7,3,2,23,6,7,0,13,3.5,NA
"43195","mf","mk, mf","guam","anaomist","leucaena_thicket","anaomist.46","leaf litter, bare soil","24","4","macaranga seedling just outside transect (1.5m);","ferns","NA","antigopon, colubrina, flagellaria, jasminum","NA, NA, NA, NA",5,1,5,32,2,37,11,28,1.66666666666667,4.75
"43195","mf","mf, mk","guam","anaomist","leucaena_thicket","anaomist.47","leaf litter, bare soil","16","4","ungulate disturbance; lots of starlings heard overhead","ferns","NA","none","NA",7,3,1,39,5,16,0,21,1,4.25
"15-Sep-2017","mb, mk","tc","saipan","banzai","scrub_shrub","banzai.11","rivina",NA,NA,NA,"NA","NA","NA","NA",5,4,1,39,32,8,1,39,3.66666666666667,7.875
"28-sep-2017","mk, tc","tc","saipan","banzaicliff","leucaena_thicket","banzaicliff.13","rivina","12","0",NA,"NA","NA","NA","NA",1,1,1,82,148,3,0,151,4,2.625
"31-Oct-2017","mk, tc","tc","guam","barrigada","leucaena_thicket","bariigada.1","leaf liter","26","3","light5 measured at 6m instead of 5m","NA","NA","flagellaria, epipremnum","NA, NA",6,3,5,61,4,10,4,10,3,3.5
