"","uniqueID","island","site","transect","topcolor","bowlcolor","insectorder","numinsects","date traps out","date traps coll"
"1","GuamAnaoL1","Guam","Anao","L1","b","y","Diptera",0,2018-01-12,2018-01-15
"2","GuamAnaoL1","Guam","Anao","L1","b","y","Hemiptera",0,2018-01-12,2018-01-15
"3","GuamAnaoL1","Guam","Anao","L1","b","y","Coleoptera",1,2018-01-12,2018-01-15
"4","GuamAnaoL1","Guam","Anao","L1","b","y","Formicidae",0,2018-01-12,2018-01-15
"5","GuamAnaoL1","Guam","Anao","L1","b","y","Apoidea",0,2018-01-12,2018-01-15
"6","GuamAnaoL1","Guam","Anao","L1","b","y","Crabronidae",0,2018-01-12,2018-01-15
"7","GuamAnaoL1","Guam","Anao","L1","b","y","Lepidoptera",0,2018-01-12,2018-01-15
"8","GuamAnaoL1","Guam","Anao","L1","b","y","Blattodea",0,2018-01-12,2018-01-15
"9","GuamAnaoL1","Guam","Anao","L1","b","y","Araneae",0,2018-01-12,2018-01-15
"10","GuamAnaoL1","Guam","Anao","L1","b","y","Isoptera",0,2018-01-12,2018-01-15
"11","GuamAnaoL1","Guam","Anao","L1","b","y","Partial",0,2018-01-12,2018-01-15
"12","GuamAnaoL1","Guam","Anao","L1","b","y","Trichoptera",0,2018-01-12,2018-01-15
"13","GuamAnaoL1","Guam","Anao","L1","b","y","other",0,2018-01-12,2018-01-15
"14","GuamAnaoL1","Guam","Anao","L1","y","w","Diptera",1,2018-01-12,2018-01-15
"15","GuamAnaoL1","Guam","Anao","L1","y","w","Hemiptera",0,2018-01-12,2018-01-15
"16","GuamAnaoL1","Guam","Anao","L1","y","w","Coleoptera",0,2018-01-12,2018-01-15
"17","GuamAnaoL1","Guam","Anao","L1","y","w","Formicidae",6,2018-01-12,2018-01-15
"18","GuamAnaoL1","Guam","Anao","L1","y","w","Apoidea",0,2018-01-12,2018-01-15
"19","GuamAnaoL1","Guam","Anao","L1","y","w","Crabronidae",1,2018-01-12,2018-01-15
"20","GuamAnaoL1","Guam","Anao","L1","y","w","Lepidoptera",0,2018-01-12,2018-01-15
