"","X","uniqueID","island","site","transect","topcolor","bowlcolor","insectorder","numinsects","dateout","datecoll","duration","order_abbrev"
"1",6143,"SaipanMTRLL3","saipan","mtrl","L3","w","w","Lepidoptera",99,2018-01-17,2018-01-20,3,"Lepid"
"2",6208,"SaipanMTRLL3","saipan","mtrl","L3","w","b","Lepidoptera",94,2018-01-17,2018-01-20,3,"Lepid"
"3",6234,"SaipanMTRLL3","saipan","mtrl","L3","w","y","Lepidoptera",91,2018-01-17,2018-01-20,3,"Lepid"
"4",6130,"SaipanMTRLL3","saipan","mtrl","L3","w","r","Lepidoptera",84,2018-01-17,2018-01-20,3,"Lepid"
"5",6169,"SaipanMTRLL3","saipan","mtrl","L3","y","r","Lepidoptera",60,2018-01-17,2018-01-20,3,"Lepid"
"6",3889,"SaipanForbiGridL1","saipan","forbig","L1","b","y","Hemiptera",53,2018-01-17,2018-01-20,3,"Hemip"
"7",3785,"SaipanForbiGridL1","saipan","forbig","L1","y","y","Hemiptera",52,2018-01-17,2018-01-20,3,"Hemip"
"8",6052,"SaipanMTRLL3","saipan","mtrl","L3","r","r","Lepidoptera",41,2018-01-17,2018-01-20,3,"Lepid"
"9",6065,"SaipanMTRLL3","saipan","mtrl","L3","y","y","Lepidoptera",39,2018-01-17,2018-01-20,3,"Lepid"
"10",6182,"SaipanMTRLL3","saipan","mtrl","L3","r","w","Lepidoptera",29,2018-01-17,2018-01-20,3,"Lepid"
"11",6078,"SaipanMTRLL3","saipan","mtrl","L3","r","y","Lepidoptera",24,2018-01-17,2018-01-20,3,"Lepid"
"12",3850,"SaipanForbiGridL1","saipan","forbig","L1","b","r","Hemiptera",23,2018-01-17,2018-01-20,3,"Hemip"
"13",4193,"SaipanForbiGridL3","saipan","forbig","L3","y","y","Lepidoptera",23,2018-01-17,2018-01-20,3,"Lepid"
"14",4271,"SaipanForbiGridL3","saipan","forbig","L3","b","b","Lepidoptera",23,2018-01-17,2018-01-20,3,"Lepid"
"15",6156,"SaipanMTRLL3","saipan","mtrl","L3","b","y","Lepidoptera",23,2018-01-17,2018-01-20,3,"Lepid"
"16",3824,"SaipanForbiGridL1","saipan","forbig","L1","b","b","Hemiptera",22,2018-01-17,2018-01-20,3,"Hemip"
"17",4297,"SaipanForbiGridL3","saipan","forbig","L3","w","y","Lepidoptera",21,2018-01-17,2018-01-20,3,"Lepid"
"18",6091,"SaipanMTRLL3","saipan","mtrl","L3","b","b","Lepidoptera",21,2018-01-17,2018-01-20,3,"Lepid"
"19",3788,"SaipanForbiGridL1","saipan","forbig","L1","y","y","Apoidea",20,2018-01-17,2018-01-20,3,"Apoid"
"20",5465,"SaipanLadtgL3","saipan","ladtg","L3","r","y","Apoidea",20,NA,NA,NA,"Apoid"
"21",6221,"SaipanMTRLL3","saipan","mtrl","L3","b","r","Lepidoptera",20,2018-01-17,2018-01-20,3,"Lepid"
"22",4590,"SaipanLADTAL2","saipan","ladta","L2","y","y","Diptera",18,2018-01-17,2018-01-20,3,"Dipte"
"23",4774,"SaipanLADTAL2","saipan","ladta","L2","r","w","Coleoptera",18,2018-01-17,2018-01-20,3,"Coleo"
"24",1811,"GuamRacetrackL3","guam","race","L3","b","y","Formicidae",17,2018-01-12,2018-01-15,3,"Formi"
"25",3888,"SaipanForbiGridL1","saipan","forbig","L1","b","y","Diptera",17,2018-01-17,2018-01-20,3,"Dipte"
"26",1522,"GuamRacetrackL2","guam","race","L2","y","y","Diptera",16,2018-01-12,2018-01-15,3,"Dipte"
"27",3810,"SaipanForbiGridL1","saipan","forbig","L1","b","w","Diptera",16,2018-01-17,2018-01-20,3,"Dipte"
"28",4219,"SaipanForbiGridL3","saipan","forbig","L3","r","r","Lepidoptera",16,2018-01-17,2018-01-20,3,"Lepid"
"29",4408,"SaipanLADTAL1","saipan","ladta","L1","y","w","Diptera",16,2018-01-17,2018-01-20,3,"Dipte"
"30",5149,"SaipanLadtgL1","saipan","ladtg","L1","r","w","Diptera",16,NA,NA,NA,"Dipte"
"31",6195,"SaipanMTRLL3","saipan","mtrl","L3","r","b","Lepidoptera",16,2018-01-17,2018-01-20,3,"Lepid"
"32",862,"GuamNblasL2","guam","nblas","L2","r","w","Formicidae",15,2018-01-12,2018-01-15,3,"Formi"
"33",2630,"GuamSblasL1","guam","sblas","L1","w","r","Formicidae",15,2018-01-12,2018-01-15,3,"Formi"
"34",3407,"SaipanForbiAL2","saipan","forbia","L2","b","y","Diptera",15,2018-01-17,2018-01-20,3,"Dipte"
"35",5448,"SaipanLadtgL3","saipan","ladtg","L3","r","w","Diptera",15,NA,NA,NA,"Dipte"
"36",5584,"SaipanLadtgL3","saipan","ladtg","L3","y","w","Lepidoptera",15,NA,NA,NA,"Lepid"
"37",2428,"GuamRitiL3","guam","riti","L3","w","r","Isoptera",14,2018-01-12,2018-01-15,3,"Isopt"
"38",4349,"SaipanForbiGridL3","saipan","forbig","L3","r","y","Lepidoptera",14,2018-01-17,2018-01-20,3,"Lepid"
"39",4750,"SaipanLADTAL2","saipan","ladta","L2","r","y","Apoidea",14,2018-01-17,2018-01-20,3,"Apoid"
"40",5467,"SaipanLadtgL3","saipan","ladtg","L3","r","y","Lepidoptera",14,NA,NA,NA,"Lepid"
"41",6117,"SaipanMTRLL3","saipan","mtrl","L3","y","w","Lepidoptera",14,2018-01-17,2018-01-20,3,"Lepid"
"42",3901,"SaipanForbiGridL1","saipan","forbig","L1","w","y","Diptera",13,2018-01-17,2018-01-20,3,"Dipte"
"43",4009,"SaipanForbiGridL2","saipan","forbig","L2","y","r","Apoidea",13,2018-01-17,2018-01-20,3,"Apoid"
"44",4291,"SaipanForbiGridL3","saipan","forbig","L3","w","y","Diptera",13,2018-01-17,2018-01-20,3,"Dipte"
"45",5597,"SaipanLadtgL3","saipan","ladtg","L3","w","r","Lepidoptera",13,NA,NA,NA,"Lepid"
"46",6104,"SaipanMTRLL3","saipan","mtrl","L3","y","b","Lepidoptera",13,2018-01-17,2018-01-20,3,"Lepid"
"47",875,"GuamNblasL2","guam","nblas","L2","r","b","Formicidae",12,2018-01-12,2018-01-15,3,"Formi"
"48",4005,"SaipanForbiGridL2","saipan","forbig","L2","y","r","Diptera",12,2018-01-17,2018-01-20,3,"Dipte"
"49",5656,"SaipanMTRLL1","saipan","mtrl","L1","w","w","Diptera",12,2018-01-17,2018-01-20,3,"Dipte"
"50",5747,"SaipanMTRLL1","saipan","mtrl","L1","b","w","Diptera",12,2018-01-17,2018-01-20,3,"Dipte"
"51",2441,"GuamRitiL3","guam","riti","L3","w","b","Isoptera",11,2018-01-12,2018-01-15,3,"Isopt"
"52",3685,"SaipanForbiAL3","saipan","forbia","L3","b","w","Crabronidae",11,2018-01-17,2018-01-20,3,"Crabr"
"53",3797,"SaipanForbiGridL1","saipan","forbig","L1","y","w","Diptera",11,2018-01-17,2018-01-20,3,"Dipte"
"54",3811,"SaipanForbiGridL1","saipan","forbig","L1","b","w","Hemiptera",11,2018-01-17,2018-01-20,3,"Hemip"
