"uniqueID","island","site","transect","topcolor","bowlcolor","partial","other","insectorders","count"
"GuamAnaoL1","Guam","Anao","L1","b","y",0,0,"Coleoptera",1
"GuamAnaoL1","Guam","Anao","L1","b","y",0,0,"Araneae",0
"GuamAnaoL1","Guam","Anao","L1","b","y",0,0,"Formicidae",0
"GuamAnaoL1","Guam","Anao","L1","b","y",0,0,"Isoptera",0
"GuamAnaoL1","Guam","Anao","L1","b","y",0,0,"Apoidea",0
"GuamAnaoL1","Guam","Anao","L1","b","y",0,0,"Crabronidae",0
"GuamAnaoL1","Guam","Anao","L1","b","y",0,0,"Trichoptera",0
"GuamAnaoL1","Guam","Anao","L1","b","y",0,0,"Diptera",0
"GuamAnaoL1","Guam","Anao","L1","b","y",0,0,"Lepidoptera",0
"GuamAnaoL1","Guam","Anao","L1","b","y",0,0,"Hemiptera",0
"GuamAnaoL1","Guam","Anao","L1","b","y",0,0,"Blattodea",0
"GuamForbiANA","Guam","ForbiA",NA,NA,NA,NA,NA,"Coleoptera",NA
"GuamForbiANA","Guam","ForbiA",NA,NA,NA,NA,NA,"Araneae",NA
"GuamForbiANA","Guam","ForbiA",NA,NA,NA,NA,NA,"Formicidae",NA
"GuamForbiANA","Guam","ForbiA",NA,NA,NA,NA,NA,"Isoptera",NA
"GuamForbiANA","Guam","ForbiA",NA,NA,NA,NA,NA,"Apoidea",NA
"GuamForbiANA","Guam","ForbiA",NA,NA,NA,NA,NA,"Crabronidae",NA
"GuamForbiANA","Guam","ForbiA",NA,NA,NA,NA,NA,"Trichoptera",NA
"GuamForbiANA","Guam","ForbiA",NA,NA,NA,NA,NA,"Diptera",NA
"GuamForbiANA","Guam","ForbiA",NA,NA,NA,NA,NA,"Lepidoptera",NA
"GuamForbiANA","Guam","ForbiA",NA,NA,NA,NA,NA,"Hemiptera",NA
"GuamForbiANA","Guam","ForbiA",NA,NA,NA,NA,NA,"Blattodea",NA
"GuamForbiGridNA","Guam","ForbiGrid",NA,NA,NA,NA,NA,"Coleoptera",NA
"GuamForbiGridNA","Guam","ForbiGrid",NA,NA,NA,NA,NA,"Araneae",NA
"GuamForbiGridNA","Guam","ForbiGrid",NA,NA,NA,NA,NA,"Formicidae",NA
"GuamForbiGridNA","Guam","ForbiGrid",NA,NA,NA,NA,NA,"Isoptera",NA
"GuamForbiGridNA","Guam","ForbiGrid",NA,NA,NA,NA,NA,"Apoidea",NA
"GuamForbiGridNA","Guam","ForbiGrid",NA,NA,NA,NA,NA,"Crabronidae",NA
"GuamForbiGridNA","Guam","ForbiGrid",NA,NA,NA,NA,NA,"Trichoptera",NA
"GuamForbiGridNA","Guam","ForbiGrid",NA,NA,NA,NA,NA,"Diptera",NA
"GuamForbiGridNA","Guam","ForbiGrid",NA,NA,NA,NA,NA,"Lepidoptera",NA
"GuamForbiGridNA","Guam","ForbiGrid",NA,NA,NA,NA,NA,"Hemiptera",NA
"GuamForbiGridNA","Guam","ForbiGrid",NA,NA,NA,NA,NA,"Blattodea",NA
"GuamLADTANA","Guam","LADTA",NA,NA,NA,NA,NA,"Coleoptera",NA
"GuamLADTANA","Guam","LADTA",NA,NA,NA,NA,NA,"Araneae",NA
"GuamLADTANA","Guam","LADTA",NA,NA,NA,NA,NA,"Formicidae",NA
"GuamLADTANA","Guam","LADTA",NA,NA,NA,NA,NA,"Isoptera",NA
"GuamLADTANA","Guam","LADTA",NA,NA,NA,NA,NA,"Apoidea",NA
"GuamLADTANA","Guam","LADTA",NA,NA,NA,NA,NA,"Crabronidae",NA
"GuamLADTANA","Guam","LADTA",NA,NA,NA,NA,NA,"Trichoptera",NA
"GuamLADTANA","Guam","LADTA",NA,NA,NA,NA,NA,"Diptera",NA
"GuamLADTANA","Guam","LADTA",NA,NA,NA,NA,NA,"Lepidoptera",NA
"GuamLADTANA","Guam","LADTA",NA,NA,NA,NA,NA,"Hemiptera",NA
"GuamLADTANA","Guam","LADTA",NA,NA,NA,NA,NA,"Blattodea",NA
"GuamLadtgNA","Guam","Ladtg",NA,NA,NA,NA,NA,"Coleoptera",NA
"GuamLadtgNA","Guam","Ladtg",NA,NA,NA,NA,NA,"Araneae",NA
"GuamLadtgNA","Guam","Ladtg",NA,NA,NA,NA,NA,"Formicidae",NA
"GuamLadtgNA","Guam","Ladtg",NA,NA,NA,NA,NA,"Isoptera",NA
"GuamLadtgNA","Guam","Ladtg",NA,NA,NA,NA,NA,"Apoidea",NA
"GuamLadtgNA","Guam","Ladtg",NA,NA,NA,NA,NA,"Crabronidae",NA
"GuamLadtgNA","Guam","Ladtg",NA,NA,NA,NA,NA,"Trichoptera",NA
"GuamLadtgNA","Guam","Ladtg",NA,NA,NA,NA,NA,"Diptera",NA
"GuamLadtgNA","Guam","Ladtg",NA,NA,NA,NA,NA,"Lepidoptera",NA
"GuamLadtgNA","Guam","Ladtg",NA,NA,NA,NA,NA,"Hemiptera",NA
"GuamLadtgNA","Guam","Ladtg",NA,NA,NA,NA,NA,"Blattodea",NA
"GuamLADTGNA","Guam","LADTG",NA,NA,NA,NA,NA,"Coleoptera",NA
"GuamLADTGNA","Guam","LADTG",NA,NA,NA,NA,NA,"Araneae",NA
"GuamLADTGNA","Guam","LADTG",NA,NA,NA,NA,NA,"Formicidae",NA
"GuamLADTGNA","Guam","LADTG",NA,NA,NA,NA,NA,"Isoptera",NA
"GuamLADTGNA","Guam","LADTG",NA,NA,NA,NA,NA,"Apoidea",NA
"GuamLADTGNA","Guam","LADTG",NA,NA,NA,NA,NA,"Crabronidae",NA
"GuamLADTGNA","Guam","LADTG",NA,NA,NA,NA,NA,"Trichoptera",NA
"GuamLADTGNA","Guam","LADTG",NA,NA,NA,NA,NA,"Diptera",NA
"GuamLADTGNA","Guam","LADTG",NA,NA,NA,NA,NA,"Lepidoptera",NA
"GuamLADTGNA","Guam","LADTG",NA,NA,NA,NA,NA,"Hemiptera",NA
"GuamLADTGNA","Guam","LADTG",NA,NA,NA,NA,NA,"Blattodea",NA
"GuamMTRLNA","Guam","MTRL",NA,NA,NA,NA,NA,"Coleoptera",NA
"GuamMTRLNA","Guam","MTRL",NA,NA,NA,NA,NA,"Araneae",NA
"GuamMTRLNA","Guam","MTRL",NA,NA,NA,NA,NA,"Formicidae",NA
"GuamMTRLNA","Guam","MTRL",NA,NA,NA,NA,NA,"Isoptera",NA
"GuamMTRLNA","Guam","MTRL",NA,NA,NA,NA,NA,"Apoidea",NA
"GuamMTRLNA","Guam","MTRL",NA,NA,NA,NA,NA,"Crabronidae",NA
"GuamMTRLNA","Guam","MTRL",NA,NA,NA,NA,NA,"Trichoptera",NA
"GuamMTRLNA","Guam","MTRL",NA,NA,NA,NA,NA,"Diptera",NA
"GuamMTRLNA","Guam","MTRL",NA,NA,NA,NA,NA,"Lepidoptera",NA
"GuamMTRLNA","Guam","MTRL",NA,NA,NA,NA,NA,"Hemiptera",NA
