trap,site,species,x,y,source,island,dist,total,handled,unhandled,numsamp,mindist,bird,sumtotal
1,CHIG,PS,354937.9034,1665352.516,HandDrawnMap,tinian,0,472,68,202,3,0.772102195,yes,270
1,FORB,PS,369775.848,1676001.549,HandDrawnMap,saipan,0,418,152,133,3,1.29903301,yes,285
1,JAPC,PS,353418.9555,1663137.23,HandDrawnMap,tinian,0,655,39,308,3,1.327990727,yes,347
1,JCP,PS,308548.1079,1565005.198,HandDrawnMap,rota,0,253,23,115,3,1.305541949,yes,138
1,JSC,PS,309139.5437,1565232.018,HandDrawnMap,rota,0,2,2,0,3,1.037286354,yes,2
1,LADT,PS,370794.0967,1686537.236,HandDrawnMap,saipan,0,173,115,29,3,1.452769472,yes,144
1,MTLA,PS,352788.9152,1663371.516,HandDrawnMap,tinian,0,86,74,6,3,0.469227152,yes,80
1,MTR1,PS,372158.2149,1688484.241,HandDrawnMap,saipan,0,57,33,12,3,2.056490238,yes,45
1,PALI,PS,308166.8954,1563678.628,HandDrawnMap,rota,0,61,3,29,3,1.637963284,yes,32
10,CHIG,PS,354948.6621,1665354.975,HandDrawnMap,tinian,10,288,14,137,3,1.491800154,yes,151
10,JAPC,PS,353417.8153,1663125.959,HandDrawnMap,tinian,10,7,5,1,3,5.555335566,yes,6
10,JCP,PS,308545.4644,1564995.232,HandDrawnMap,rota,10,1,1,0,3,7.306357328,yes,1
10,LADT,PS,370783.8524,1686530.053,HandDrawnMap,saipan,10,27,25,1,3,9.699004874,yes,26
10,MTLA,PS,352797.7914,1663379.129,HandDrawnMap,tinian,10,13,13,0,3,5.727280906,yes,13
10,MTR1,PS,372152.3472,1688496.028,HandDrawnMap,saipan,10,11,11,0,3,7.397779446,yes,11
10,PALI,PS,308171.5778,1563668.212,HandDrawnMap,rota,10,2,2,0,3,5.921247069,yes,2
11,CHIG,PS,354933.2332,1665373.044,HandDrawnMap,tinian,20,6,6,0,3,7.761085955,yes,6
11,JCP,PS,308568.0195,1565004.273,HandDrawnMap,rota,20,2,2,0,3,13.33275246,yes,2
11,LADT,PS,370804.9377,1686518.973,HandDrawnMap,saipan,20,32,22,5,3,3.294470425,yes,27
11,MTLA,PS,352775.1415,1663385.044,HandDrawnMap,tinian,20,1,1,0,3,8.881536681,yes,1
11,MTR1,PS,372142.3356,1688473.683,HandDrawnMap,saipan,20,16,10,3,3,1.87580157,yes,13
11,PALI,PS,308184.5408,1563685.761,HandDrawnMap,rota,20,4,4,0,3,3.281034448,yes,4
12,CHIG,PS,354938.0136,1665372.798,HandDrawnMap,tinian,20,1,1,0,3,8.202601356,yes,1
12,FORB,PS,369796.1477,1676004.351,HandDrawnMap,saipan,20,3,3,0,3,10.11105902,yes,3
12,JAPC,PS,353437.904,1663132.492,HandDrawnMap,tinian,20,10,8,1,3,1.898144368,yes,9
12,JCP,PS,308565.3495,1564999.244,HandDrawnMap,rota,20,2,2,0,3,15.84645259,yes,2
12,LADT,PS,370799.2452,1686518.054,HandDrawnMap,saipan,20,3,3,0,3,0.870651922,yes,3
12,MTLA,PS,352778.2292,1663389.977,HandDrawnMap,tinian,20,3,2,0.5,3,3.861684147,yes,2.5
12,MTR1,PS,372139.3688,1688477.934,HandDrawnMap,saipan,20,220,130,45,3,2.031541681,yes,175
12,PALI,PS,308186.3136,1563681.442,HandDrawnMap,rota,20,16,16,0,3,3.299951012,yes,16
13,CHIG,PS,354941.0683,1665372.9,HandDrawnMap,tinian,20,3,3,0,3,7.071409253,yes,3
13,FORB,PS,369797.887,1675998.379,HandDrawnMap,saipan,20,2,2,0,3,12.35926392,yes,2
13,JAPC,PS,353437.6417,1663128.127,HandDrawnMap,tinian,20,27,5,11,3,2.995826714,yes,16
13,JCP,PS,308562.8097,1564994.768,HandDrawnMap,rota,20,11,11,0,3,11.46155615,yes,11
13,LADT,PS,370794.9843,1686516.848,HandDrawnMap,saipan,20,5,5,0,3,2.909529381,yes,5
13,MTLA,PS,352782.4428,1663392.095,HandDrawnMap,tinian,20,900,215,342.5,3,2.231183894,yes,557.5
13,MTR1,PS,372138.9886,1688483.805,HandDrawnMap,saipan,20,2,2,0,3,7.257952888,yes,2
13,PALI,PS,308186.8926,1563676.258,HandDrawnMap,rota,20,2,2,0,3,1.395092603,yes,2
14,CHIG,PS,354947.4269,1665370.73,HandDrawnMap,tinian,20,7,7,0,3,6.166367808,yes,7
14,FORB,PS,369793.3766,1675992.743,HandDrawnMap,saipan,20,1,1,0,3,8.182136352,yes,1
14,JAPC,PS,353434.4534,1663122.915,HandDrawnMap,tinian,20,2,2,0,3,3.155334461,yes,2
14,JCP,PS,308560.5515,1564989.733,HandDrawnMap,rota,20,2,2,0,3,8.342009198,yes,2
14,LADT,PS,370788.174,1686518.117,HandDrawnMap,saipan,20,9,9,0,3,7.469214053,yes,9
14,MTLA,PS,352788.5362,1663393.162,HandDrawnMap,tinian,20,6,4,1,3,3.222115842,yes,5
14,MTR1,PS,372138.1455,1688489.401,HandDrawnMap,saipan,20,7,7,0,3,5.020664379,yes,7
14,PALI,PS,308187.2068,1563671.208,HandDrawnMap,rota,20,61,0,30.5,3,5.02702207,yes,30.5
15,CHIG,PS,354950.4117,1665366.593,HandDrawnMap,tinian,20,87,28,29.5,3,2.938922355,yes,57.5
15,JAPC,PS,353429.029,1663120.312,HandDrawnMap,tinian,20,3,1,1,3,1.169815956,yes,2
15,JCP,PS,308555.6871,1564987.589,HandDrawnMap,rota,20,4,4,0,3,4.424480817,yes,4
15,LADT,PS,370783.3823,1686518.714,HandDrawnMap,saipan,20,1,1,0,3,7.315322671,yes,1
15,MTLA,PS,352793.7062,1663390.111,HandDrawnMap,tinian,20,93,19,37,3,1.875069689,yes,56
15,MTR1,PS,372140.3446,1688495.069,HandDrawnMap,saipan,20,134,74,30,3,2.315510505,yes,104
15,PALI,PS,308184.7227,1563666.71,HandDrawnMap,rota,20,1,1,0,3,4.906776185,yes,1
16,CHIG,PS,354955.9238,1665361.239,HandDrawnMap,tinian,20,1,1,0,3,4.969513274,yes,1
16,JAPC,PS,353424.4849,1663117.796,HandDrawnMap,tinian,20,38,6,16,3,3.569828216,yes,22
16,JCP,PS,308551.7947,1564986.56,HandDrawnMap,rota,20,6,6,0,3,3.8186907,yes,6
16,MTLA,PS,352798.9682,1663388.026,HandDrawnMap,tinian,20,167,72,47.5,3,4.364165774,yes,119.5
16,MTR1,PS,372144.5227,1688502.026,HandDrawnMap,saipan,20,30,30,0,3,6.302292834,yes,30
16,PALI,PS,308180.7212,1563663.856,HandDrawnMap,rota,20,1,1,0,3,6.201613385,yes,1
17,CHIG,PS,354958.2968,1665357.489,HandDrawnMap,tinian,20,4,1,1.5,3,3.912924754,yes,2.5
17,JAPC,PS,353416.9853,1663115.989,HandDrawnMap,tinian,20,4,4,0,3,1.199371077,yes,4
17,JCP,PS,308547.2815,1564985.205,HandDrawnMap,rota,20,3,3,0,3,7.142283003,yes,3
17,LADT,PS,370775.4852,1686524.092,HandDrawnMap,saipan,20,1,1,0,3,2.245903126,yes,1
17,MTLA,PS,352805.037,1663385.039,HandDrawnMap,tinian,20,217,130,43.5,3,1.139018459,yes,173.5
17,MTR1,PS,372146.2616,1688506.113,HandDrawnMap,saipan,20,5,5,0,3,7.080880279,yes,5
17,PALI,PS,308177.4396,1563660.883,HandDrawnMap,rota,20,8,8,0,3,1.774968574,yes,8
2,CHIG,PS,354939.0254,1665351.987,HandDrawnMap,tinian,0,292,78,107,3,0.950444528,yes,185
2,FORB,PS,369775.5296,1676000.664,HandDrawnMap,saipan,0,176,50,63,3,1.361871833,yes,113
2,JAPC,PS,353417.8681,1663136.735,HandDrawnMap,tinian,0,435,16,209.5,3,0.964217247,yes,225.5
2,JCP,PS,308547.6636,1565004.212,HandDrawnMap,rota,0,49,5,22,3,2.319403268,yes,27
2,JSC,PS,309138.7234,1565233.261,HandDrawnMap,rota,0,4,2,1,3,1.071875702,yes,3
2,LADT,PS,370791.9279,1686537.879,HandDrawnMap,saipan,0,520,285,117.5,3,1.628100835,yes,402.5
2,MTLA,PS,352789.9545,1663371.633,HandDrawnMap,tinian,0,53,14,19.5,3,1.022864727,yes,33.5
2,MTR1,PS,372158.9661,1688487.147,HandDrawnMap,saipan,0,449,213,118,3,1.704569638,yes,331
2,PALI,PS,308166.424,1563675.938,HandDrawnMap,rota,0,19,5,7,3,1.474489742,yes,12
3,CHIG,PS,354938.217,1665354.024,HandDrawnMap,tinian,1,216,24,96,3,2.258322459,yes,120
3,FORB,PS,369777.1584,1676001.783,HandDrawnMap,saipan,1,128,24,52,3,2.613731624,yes,76
3,JAPC,PS,353420.5998,1663136.205,HandDrawnMap,tinian,1,389,106,141.5,3,2.915782643,yes,247.5
3,JCP,PS,308551.1702,1565005.413,HandDrawnMap,rota,1,151,17,67,3,2.513739692,yes,84
3,LADT,PS,370793.8555,1686534.965,HandDrawnMap,saipan,1,6,4,1,3,1.866187713,yes,5
3,MTLA,PS,352788.1037,1663373.568,HandDrawnMap,tinian,1,4,4,0,3,0.810276126,yes,4
3,MTR1,PS,372155.5135,1688482.436,HandDrawnMap,saipan,1,45,39,3,3,5.291376375,yes,42
3,PALI,PS,308168.4765,1563677.876,HandDrawnMap,rota,1,1,1,0,3,2.625971199,yes,1
4,CHIG,PS,354939.9259,1665353.144,HandDrawnMap,tinian,1,26,8,9,3,2.285805252,yes,17
4,FORB,PS,369775.9372,1675999.536,HandDrawnMap,saipan,1,276,85,95.5,3,2.495016042,yes,180.5
4,JAPC,PS,353419.3116,1663134.926,HandDrawnMap,tinian,1,357,47,155,3,1.348306352,yes,202
4,JCP,PS,308547.7703,1565002.348,HandDrawnMap,rota,1,42,8,17,3,4.036299506,yes,25
4,LADT,PS,370790.581,1686534.78,HandDrawnMap,saipan,1,6,6,0,3,2.846371726,yes,6
