"","island","site","netting","websize"
"1","guam","a","yes",57.3181903632871
"2","guam","a","yes",57.1810698597134
"3","guam","a","yes",53.4047478939628
"4","guam","a","yes",47.0466250338308
"5","guam","a","yes",54.3922304885468
"6","guam","a","yes",60.3713113669295
"7","guam","a","yes",56.5824947607108
"8","guam","b","yes",71.6644882372119
"9","guam","b","yes",45.1816660473381
"10","guam","b","yes",49.590514991429
"11","guam","b","yes",54.7442049691721
"12","guam","b","yes",51.9993736612037
"13","guam","b","yes",57.552740154601
"14","guam","b","yes",54.4467419789426
"15","guam","c","yes",56.3855954239571
"16","guam","c","yes",55.3017337204512
"17","guam","c","yes",56.9465540122622
"18","guam","c","yes",53.8192174975274
"19","guam","c","yes",55.0851168248779
"20","guam","c","yes",58.8634156129227
"21","guam","c","yes",52.3283256162736
"22","guam","a","no",58.9281916216242
"23","guam","a","no",52.7349036045665
"24","guam","a","no",49.1110509162476
"25","guam","a","no",53.3663612127374
"26","guam","a","no",50.6295105546538
"27","guam","a","no",64.1349318204024
"28","guam","a","no",54.8180070685548
"29","guam","b","no",53.1325154529127
"30","guam","b","no",56.5023849180048
"31","guam","b","no",48.3041136239464
"32","guam","b","no",58.4794875292561
"33","guam","b","no",50.265700774432
"34","guam","b","no",57.0650237708076
"35","guam","b","no",51.277526956013
"36","guam","c","no",55.6343875111517
"37","guam","c","no",58.4066931881514
"38","guam","c","no",47.1114302025773
"39","guam","c","no",52.2811299763122
"40","guam","c","no",54.5693105766516
"41","guam","c","no",42.463171309766
"42","guam","c","no",60.4945732581921
"43","saipan","d","yes",54.8193012634012
"44","saipan","d","yes",51.1049339928899
"45","saipan","d","yes",53.5614443958129
"46","saipan","d","yes",54.1402861233142
"47","saipan","d","yes",55.0735654467987
"48","saipan","d","yes",52.0871909965617
"49","saipan","d","yes",51.0101987526167
"50","saipan","e","yes",45.6415547034101
"51","saipan","e","yes",54.2566729734565
"52","saipan","e","yes",57.4863102665965
"53","saipan","e","yes",61.3419626344625
"54","saipan","e","yes",47.7384118070207
"55","saipan","e","yes",58.6989759686298
"56","saipan","e","yes",49.461980261987
"57","saipan","f","yes",65.4237590054378
"58","saipan","f","yes",49.4055043171345
"59","saipan","f","yes",49.8153798339622
"60","saipan","f","yes",58.1118117225244
"61","saipan","f","yes",53.4639087334473
"62","saipan","f","yes",48.5763139484673
"63","saipan","f","yes",53.1683340244653
"64","saipan","d","no",54.5204166786379
"65","saipan","d","no",56.4494269765158
"66","saipan","d","no",48.2314287792598
"67","saipan","d","no",48.2390183003109
"68","saipan","d","no",50.4182900604344
"69","saipan","d","no",53.0334491860166
"70","saipan","d","no",56.2736992094908
"71","saipan","e","no",50.2991145751772
"72","saipan","e","no",48.0621999756701
"73","saipan","e","no",46.952783507299
"74","saipan","e","no",46.0492554180146
"75","saipan","e","no",56.3702255588481
"76","saipan","e","no",50.1904980220507
"77","saipan","e","no",49.1697007765855
"78","saipan","f","no",57.4186011703513
"79","saipan","f","no",52.8102147828703
"80","saipan","f","no",51.3635072618421
"81","saipan","f","no",44.6042419241967
"82","saipan","f","no",55.7559161954059
"83","saipan","f","no",52.3772412648001
"84","saipan","f","no",51.2046815572217
