"","indiv_ID","tree.id","leaf_num","seed_mass","area","thickness","lma","seed_num","site","island","species","indiv"
"1","TRI.1.UOG","1",1,0.1617,18.8058044409817,0.282,0.00859840909797098,NA," univ_of_guam"," guam"," triphasia","TRI.1.UOG.a"
"2","TRI.1.UOG","1",2,0.1406,15.3118426178418,0.281,0.00918243502817672,NA," univ_of_guam"," guam"," triphasia","TRI.1.UOG.a"
"3","TRI.1.UOG","1",3,0.1026,12.7787300350604,0.265,0.00802896686278694,NA," univ_of_guam"," guam"," triphasia","TRI.1.UOG.a"
"4","TRI.1.UOG","1",4,0.1651,13.6669263731983,0.334,0.0120802582447339,NA," univ_of_guam"," guam"," triphasia","TRI.1.UOG.a"
"5","TRI.1.UOG","1",5,0.1203,15.9382547721075,0.261,0.00754787783983282,NA," univ_of_guam"," guam"," triphasia","TRI.1.UOG.a"
"6","EUG.1.UOG","1",1,0.2782,26.7831825,0.294,0.0103871151234548,NA," univ_of_guam"," guam"," eugenia","EUG.1.UOG.a"
"7","EUG.1.UOG","1",2,0.3198,36.60727753,0.325,0.00873596786152483,NA," univ_of_guam"," guam"," eugenia","EUG.1.UOG.a"
"8","EUG.1.UOG","1",3,0.1805,20.23699095,0.277,0.00891931020999938,NA," univ_of_guam"," guam"," eugenia","EUG.1.UOG.a"
"9","EUG.1.UOG","1",4,0.278,18.22831825,0.278,0.0152509955217619,NA," univ_of_guam"," guam"," eugenia","EUG.1.UOG.a"
"10","EUG.1.UOG","1",5,0.2376,25.89272247,0.297,0.00917632358958351,NA," univ_of_guam"," guam"," eugenia","EUG.1.UOG.a"
"11","TRI.2.UOG","2",1,0.1222,16.5632322975038,0.268,0.00737778700467881,NA," univ_of_guam"," guam"," triphasia","TRI.2.UOG.a"
"12","TRI.2.UOG","2",2,0.1761,23.0960264900662,0.286,0.00762468817204301,NA," univ_of_guam"," guam"," triphasia","TRI.2.UOG.a"
"13","TRI.2.UOG","2",3,0.1412,19.5317116658176,0.278,0.00722926911967032,NA," univ_of_guam"," guam"," triphasia","TRI.2.UOG.a"
"14","TRI.2.UOG","2",4,0.1883,27.0137544574631,0.28,0.00697052311986121,NA," univ_of_guam"," guam"," triphasia","TRI.2.UOG.a"
"15","TRI.2.UOG","2",5,0.1432,16.0138181355069,0.286,0.00894227715016244,NA," univ_of_guam"," guam"," triphasia","TRI.2.UOG.a"
"16","EUG.2.UOG","2",1,0.2209,25.4274132730015,0.318,0.00868747432655876,NA," univ_of_guam"," guam"," eugenia","EUG.2.UOG.a"
"17","EUG.2.UOG","2",2,0.1822,21.3910256410256,0.333,0.00851759065028469,NA," univ_of_guam"," guam"," eugenia","EUG.2.UOG.a"
"18","EUG.2.UOG","2",3,0.2742,27.9034690799397,0.331,0.00982673513513514,NA," univ_of_guam"," guam"," eugenia","EUG.2.UOG.a"
"19","EUG.2.UOG","2",4,0.2301,21.9487179487179,0.339,0.0104835280373832,NA," univ_of_guam"," guam"," eugenia","EUG.2.UOG.a"
"20","EUG.2.UOG","2",5,0.2306,24.3031674208145,0.332,0.00948847514429343,NA," univ_of_guam"," guam"," eugenia","EUG.2.UOG.a"
"21","GUA.1.UOG","1",1,0.3129,69.0343823332216,0.157,0.00453252407604178,NA," univ_of_guam"," guam"," guamia","GUA.1.UOG.a"
"22","GUA.1.UOG","1",2,0.137,43.0911205162588,0.137,0.00317930929524815,NA," univ_of_guam"," guam"," guamia","GUA.1.UOG.a"
"23","GUA.1.UOG","1",3,0.162,68.5486297351659,0.162,0.00236328575240495,NA," univ_of_guam"," guam"," guamia","GUA.1.UOG.a"
"24","GUA.1.UOG","1",4,0.158,49.5763702648341,0.158,0.00318700217777085,NA," univ_of_guam"," guam"," guamia","GUA.1.UOG.a"
"25","GUA.1.UOG","1",5,0.157,54.6841267180691,0.157,0.00287103423648755,NA," univ_of_guam"," guam"," guamia","GUA.1.UOG.a"
"26","PRE.1.RT","1",1,1.1578,150.573201,0.3,0.00768928330081792,NA," racetrack"," guam"," premna","PRE.1.RT.a"
"27","PRE.1.RT","1",2,0.6588,129.8206169,0.234,0.00507469472670485,NA," racetrack"," guam"," premna","PRE.1.RT.a"
"28","PRE.1.RT","1",3,0.6545,121.2225948,0.234,0.00539915847437379,NA," racetrack"," guam"," premna","PRE.1.RT.a"
"29","PRE.1.RT","1",4,0.2939,140.6164784,0.25,0.00209008221045024,NA," racetrack"," guam"," premna","PRE.1.RT.a"
"30","PRE.1.RT","1",5,0.421,109.6558239,0.238,0.003839285366037,NA," racetrack"," guam"," premna","PRE.1.RT.a"
"31","AGL.1.RT","1",1,0.6804,NA,0.254,NA,NA," racetrack"," guam"," aglaia","AGL.1.RT.a"
"32","AGL.1.RT","1",2,0.3684,NA,0.254,NA,NA," racetrack"," guam"," aglaia","AGL.1.RT.a"
"33","AGL.1.RT","1",3,0.4086,NA,0.207,NA,NA," racetrack"," guam"," aglaia","AGL.1.RT.a"
"34","AGL.1.RT","1",4,0.2939,NA,0.194,NA,NA," racetrack"," guam"," aglaia","AGL.1.RT.a"
"35","AGL.1.RT","1",5,0.421,NA,0.206,NA,NA," racetrack"," guam"," aglaia","AGL.1.RT.a"
"36","AGL.2.RT","2",1,0.633,NA,0.202,NA,NA," racetrack"," guam"," aglaia","AGL.2.RT.a"
"37","AGL.2.RT","2",2,0.4142,NA,0.183,NA,NA," racetrack"," guam"," aglaia","AGL.2.RT.a"
"38","AGL.2.RT","2",3,0.6043,NA,0.188,NA,NA," racetrack"," guam"," aglaia","AGL.2.RT.a"
"39","AGL.2.RT","2",4,0.496,NA,0.194,NA,NA," racetrack"," guam"," aglaia","AGL.2.RT.a"
"40","AGL.2.RT","2",5,0.4338,NA,0.2,NA,NA," racetrack"," guam"," aglaia","AGL.2.RT.a"
"41","OCH.2.RT","2",1,0.2501,43.0546464430677,0.331,0.00580889684765415,NA," racetrack"," guam"," ochrosia","OCH.2.RT.a"
"42","OCH.2.RT","2",2,0.2226,39.3860072634053,0.311,0.00565175338823503,NA," racetrack"," guam"," ochrosia","OCH.2.RT.a"
"43","OCH.2.RT","2",3,0.2174,39.4256141850032,0.318,0.00551418169365374,NA," racetrack"," guam"," ochrosia","OCH.2.RT.a"
"44","OCH.2.RT","2",4,0.2252,39.0426190984832,0.327,0.00576805565814996,NA," racetrack"," guam"," ochrosia","OCH.2.RT.a"
"45","OCH.2.RT","2",5,0.2028,34.8973509933775,0.327,0.0058113293481355,NA," racetrack"," guam"," ochrosia","OCH.2.RT.a"
"46","NEI.1.RT","1",1,2.1712,220.730384615385,0.39,0.0098364346339687,NA," racetrack"," guam"," neisosperma","NEI.1.RT.a"
"47","NEI.1.RT","1",2,2.3042,227.001890238722,0.471,0.0101505762686682,NA," racetrack"," guam"," neisosperma","NEI.1.RT.a"
"48","NEI.1.RT","1",3,2.6368,274.049423076923,0.44,0.00962162215265775,NA," racetrack"," guam"," neisosperma","NEI.1.RT.a"
"49","NEI.1.RT","1",4,1.9267,203.268977796397,0.475,0.00947857376411793,NA," racetrack"," guam"," neisosperma","NEI.1.RT.a"
"50","NEI.1.RT","1",5,2.4356,220.083551892094,0.454,0.0110667061625494,NA," racetrack"," guam"," neisosperma","NEI.1.RT.a"
