"island","site","web","web_a","web_b","native","netting","startdate","enddate","spidpres","webpres","websize","webarea","websize_c"
"guam","Nblas","A'A","a","a","yes","no","24-Jun-2013","29-Jun-2013","yes","yes",77,0.465662571078347,25.2967032967033
"guam","Nblas","J'E","j","e","no","no","7-Aug-2013","12-Aug-2013","no","no",76,0.453645979178366,24.2967032967033
"guam","Nblas","J'I","j","i","no","yes","7-Aug-2013","12-Aug-2013","no","no",73,0.4185386812745,21.2967032967033
"saipan","LADT","G'P","g","p","yes","no","23-Jul-2013","1-Aug-2013","yes","no",71,0.395919214168654,19.2967032967033
"guam","Nblas","J'O","j","o","no","yes","7-Aug-2013","11-Aug-2013","no","no",71,0.395919214168654,19.2967032967033
"guam","Anao","I'V","i","v","no","no","7-Aug-2013","12-Aug-2013","no","no",70,0.38484510006475,18.2967032967033
"guam","Nblas","A'O","a","o","yes","no","24-Jun-2013","30-Jun-2013","no","no",70,0.38484510006475,18.2967032967033
"guam","Nblas","J'G","j","g","no","no","7-Aug-2013","14-Aug-2013","yes","no",67,0.352565235549115,15.2967032967033
"guam","Nblas","A'F","a","f","yes","no","24-Jun-2013","28-Jun-2013","no","no",67,0.352565235549115,15.2967032967033
"saipan","LADT","I'G","i","g","no","yes","1-Aug-2013","7-Aug-2013","no","no",66,0.342119439975929,14.2967032967033
"guam","Nblas","A'I","a","i","yes","no","24-Jun-2013","28-Jun-2013","no","no",66,0.342119439975929,14.2967032967033
"guam","Anao","I'T","i","t","no","no","7-Aug-2013","10-Aug-2013","no","no",63,0.311724531052447,11.2967032967033
"guam","Nblas","J'K","j","k","no","yes","7-Aug-2013","14-Aug-2013","yes","no",63,0.311724531052447,11.2967032967033
"saipan","Forbi","H'P","h","p","no","no","1-Aug-2013","5-Aug-2013","no","yes",62,0.301907054009979,10.2967032967033
"guam","Nblas","A'C","a","c","yes","no","24-Jun-2013","28-Jun-2013","yes","yes",62,0.301907054009979,10.2967032967033
"saipan","LADT","G'Z","g","z","no","no","30-Jul-2013","31-Jul-2013","no","yes",61,0.292246656600191,9.2967032967033
"guam","Nblas","J'M","j","m","no","yes","7-Aug-2013","10-Aug-2013","no","yes",61,0.292246656600191,9.2967032967033
"guam","Nblas","J'J","j","j","no","yes","7-Aug-2013","11-Aug-2013","no","no",60,0.282743338823081,8.2967032967033
"saipan","LADT","G'X","g","x","no","no","30-Jul-2013","31-Jul-2013","no","yes",59,0.273397100678652,7.2967032967033
"saipan","LADT","H'H","h","h","no","no","1-Aug-2013","2-Aug-2013","no","yes",59,0.273397100678652,7.2967032967033
"guam","Nblas","J'H","j","h","no","no","7-Aug-2013","10-Aug-2013","no","no",59,0.273397100678652,7.2967032967033
"guam","Nblas","A'D","a","d","yes","no","24-Jun-2013","30-Jun-2013","yes","yes",58,0.264207942166902,6.2967032967033
"guam","Nblas","A'J","a","j","yes","no","24-Jun-2013","30-Jun-2013","no","no",58,0.264207942166902,6.2967032967033
"guam","NBlas","A'P","a","p","yes","no","24-Jun-2013","25-Jun-2013","no","no",58,0.264207942166902,6.2967032967033
"saipan","LADT","H'I","h","i","no","no","1-Aug-2013","3-Aug-2013","no","yes",57,0.255175863287831,5.2967032967033
"saipan","LADT","H'W","h","w","no","yes","30-Jul-2013","2-Aug-2013","no","no",57,0.255175863287831,5.2967032967033
"saipan","LADT","H'Z","h","z","no","yes","30-Jul-2013","6-Aug-2013","yes","yes",57,0.255175863287831,5.2967032967033
"guam","Anao","I'S","i","s","no","no","7-Aug-2013","14-Aug-2013","yes","no",57,0.255175863287831,5.2967032967033
"saipan","Forbi","H'U","h","u","no","yes","1-Aug-2013","7-Aug-2013","yes","no",56,0.24630086404144,4.2967032967033
"guam","Nblas","J'F","j","f","no","no","7-Aug-2013","14-Aug-2013","yes","no",56,0.24630086404144,4.2967032967033
"guam","Nblas","A'E","a","e","yes","no","24-Jun-2013","1-Jul-2013","no","no",56,0.24630086404144,4.2967032967033
"guam","Nblas","A'L","a","l","yes","no","24-Jun-2013","30-Jun-2013","no","no",56,0.24630086404144,4.2967032967033
